GEO,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,PRVDR_NUM,SKLTN_REC_SW,STATE_RGN_CD,TRMNTN_EXPRTN_DT,ZIP_CD,CBSA_CD,LONGITUDE,LATITUDE,GRADE_FAC_NAME,GRADEN,GRADEN.01,GEOGRAPHY.1,TOTAL_CIVILIAN_NONINSTITUTIONALIZED_POPULATION,AVG-MEDIAN_AGE_IN_YEARS,TOTAL_HOUSEHOLDS_ESTIMATE,PROP_FAMILY_HOUSEHOLDS,PROP_NONFAMILY_HOUSEHOLDS,AVERAGE_HOUSEHOLD_SIZE,AVERAGE_FAMILY_SIZE,GPS_LIVING_WITH_GCS_UNDER_18_YEARS,PROP__GPS_CARING_FOR_GC_OVER_18,NUMBER_OF_VETERANS,VETERANS_AS_PROP_OF_POPULATION,UNEMPLOYED_VETERANS_PROP_OF_LABOUR_FORCE,HISPANI_OR_LATINO,HISPANIC/LATINO_PROP,WHITE,WHITE_PROP,BLACK_ESTIMATE,BLACK_PROP,NATIVE_AMERICAN/ALASKAN,NATIVE_AMERICAN/ALASKAN_PROP,ASIAN,ASIAN_PROP,NATIVE_HAWAIIAN/PACIFIC_ISLANDER,NATIVE_HAWAIIAN/PACIFIC_ISLANDER_PROP,"OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO","OTHER_RACE_ONLY,_NOT_HISPANIC/LATINO_PROP","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_ESTIMATE","TWO_OR_MORE_RACES_ALONE,_NOT_HISPANIC_OR_LATINO_PROP",PROP_NATIVE_BORN,PROP_FOREIGN_BORN,PROP_OF_FOREIGN_BORN_WHO_ARE_NATURALIZED_U.S._CITIZEN,POP_5_YEARS_+,POP_5_YEARS_+_FOREIGN_LANGUAGE_AT_HOME,POP_5_YEARS_+_W/_POOR_ENGLISH,MEDIAN_HOUSEHOLD_INCOME_(DOLLARS),MEAN_HOUSEHOLD_INCOME_(DOLLARS),MEDIAN_FAMILY_INCOME_(DOLLARS),MEAN_FAMILY_INCOME_(DOLLARS),PER_CAPITA_INCOME_(DOLLARS),ALL_FAMILIES%,MARRIED_COUPLE_FAMILIES%,FEMALE_HOUSEHOLDER_NO_HUSBAND%,ALL_PEOPLE%,UNDER_18%,PERCENT_(LABOR_FORCE_PARTICIPATION_RATE),LABOUR_FORCE_%,EMPLOYED_16+%,EMPLOYED_%_16+,UNEMPLOYMENT%,MILITARY%,NOT_IN_LABOURFORCE%,"POPULATION_25_YEARS_
AND_OVER%",PERCENT_LESS_THAN_9TH_GRADE%,"PERCENT_9TH_TO_12TH_GRADE,_NO_DIPLOMA",PERCENT_HIGH_SCHOOL_GRADUATE_(INCLUDES_EQUIVALENCY),"PERCENT_SOME_COLLEGE,_NO_DEGREE",PERCENT_ASSOCIATE'S_DEGREE,PERCENT_BACHELOR'S_DEGREE,PERCENT_GRADUATE_OR_PROFESSIONAL_DEGREE,PERCENT_HIGH_SCHOOL_GRADUATE_OR_HIGHER,POPULATION_25_YEARS_AND_OVER_WITH_EARNINGS,LESS_THAN_HIGH_SCHOOL_GRADUATE_EARNINGS_(DOLLARS),HIGH_SCHOOL_GRADUATE__EARNINGS_(DOLLARS),SOME_COLLEGE_OR_ASSOCIATE'S_DEGREE_EARNINGS_(DOLLARS),BACHELOR'S_DEGREE_EARNINGS_(DOLLARS),GRADUATE_OR_PROFESSIONAL_DEGREE_EARNINGS_(DOLLARS),MEDIAN_VALUE_(DOLLARS)
SACRAMENTO,19930115,N,METHODIST HOSPITAL LABORATORY,05D0616207,Y,LAB,20190227,95823,40900,-121.4163638,38.4631737,METHODIST HOSPITAL OF SACRAMENTO,60,0.6,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,44853,63830,50074,69761,21286,23.2,13.7,41.1,28.4,40.1,61.5,61.5,54.7,6.8,11.1,0,38.5,308919,12.5,11.5,22.4,24.5,8.3,13.9,7,76,30252,17812,25651,30862,48464,71575,0
SACRAMENTO,19930115,N,MERCY GENERAL ANCILLARY TESTING SITES,05D0667083,Y,M2,20200404,95819,40900,-121.4524082,38.5702596,MERCY GENERAL HOSPITAL,60,0.6,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,-,50281,62708,59744,22938,10.6,0,0,15.4,27.8,45.5,45.5,38,7.6,16.6,0,54.5,407,0,15.7,13.8,40.3,12.8,10.1,7.4,84.3,-,-,-,-,-,-,0
SACRAMENTO,19921229,N,MERCY GENERAL HOSPITAL PULMONARY LABORATORY,05D0667084,Y,M2,20200906,95819,40900,-121.4524082,38.5702596,MERCY GENERAL HOSPITAL,60,0.6,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,22802,33021,26944,31517,9071,46.1,34.2,63.4,43.5,54.8,57.3,57.3,50.8,6.5,11.4,0,42.7,3760,60.3,15,13.9,9.2,0.9,0,0.8,24.7,16355,16851,13777,-,-,-,0
SACRAMENTO,19930106,N,KAISER FOUNDATION HOSPITAL SACRAMENTO LABORATORY,05D0681095,Y,M2,20190208,95825,40900,-121.3919202,38.6018632,KAISER FOUNDATION HOSPITAL - SACRAMENTO,100,1,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,45139,58902,47384,61026,16273,20,16.5,38.8,21.5,33.1,65.1,65.1,59.5,5.6,8.6,0,34.9,8139,29.7,12.4,26.8,15.6,8.5,5,2,58,26367,17235,28967,34082,46827,81591,0
SACRAMENTO,19941208,Y,METHODIST HOSPITAL RESPIRATORY FUNCTION,05D0707664,N,M2,20191103,95823,40900,-121.4163638,38.4631737,METHODIST HOSPITAL OF SACRAMENTO,60,0.6,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,62832,83807,80321,101260,28055,13.7,7.7,48.8,18.3,23.7,62.7,62.6,56.7,5.9,9.5,0.1,37.3,7345,4,6.9,24.5,26.2,9.7,18.7,10,89.1,42803,14861,36636,45121,55842,49785,0
SACRAMENTO,19930322,N,"PERMANENTE MEDICAL GRP PULM LAB,THE",05D0716530,Y,LAB,19961231,95825,40900,-121.3919202,38.6018632,KAISER FOUNDATION HOSPITAL - SACRAMENTO,100,1,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,65670,61296,65670,61296,21663,20.8,22.2,100,22.2,34,45.3,45.3,40,5.3,11.8,0,54.7,116,21.6,0,25.9,12.1,40.5,0,0,78.4,-,-,-,-,-,-,0
SACRAMENTO,19990723,Y,TPMG MEDICAL OFFICE BUILDING,05D0857112,N,M2,20010921,95825,40900,-121.3919202,38.6018632,KAISER FOUNDATION HOSPITAL - SACRAMENTO,100,1,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,27004,44393,27180,49681,14242,38.8,29.1,53.9,43.8,54.8,56.6,56.6,49.3,7.3,12.9,0,43.4,1051,31.5,14.8,23.8,24.9,3.7,1.2,0,53.7,19803,12000,19696,27083,-,-,0
SACRAMENTO,19930121,N,ASSISTED REPRODUCTIVE TECH UC DAVIS,05D0859693,Y,LAB,20080107,95817,40900,-121.4567508,38.5549383,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,80,0.8,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,41541,49992,41576,47485,12211,31.8,27.5,58.2,29.1,44,61.6,61.6,55.5,6.2,10,0,38.4,667,19,37.3,17.5,12.6,9.3,3.6,0.6,43.6,27902,24545,28548,28550,51964,-,0
SACRAMENTO,19930218,N,KFH NURSING,05D0862054,Y,M2,20200831,95825,40900,-121.3919202,38.6018632,KAISER FOUNDATION HOSPITAL - SACRAMENTO,100,1,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,37917,57863,48664,56880,17717,27.4,8.8,49.6,31.6,42.9,56.8,56.8,49.9,6.9,12.1,0,43.2,3055,14.6,19.5,24.4,25.9,8.1,5.6,2.1,66,24522,21453,18977,32035,40354,73359,0
SACRAMENTO,19930329,N,KAISER FOUNDATION HOSP NUCLEAR MED,05D0866276,Y,LAB,20021201,95823,40900,-121.4216412,38.4699104,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,100,1,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,27479,35160,26078,33963,9233,44.3,31.3,60.8,49.5,63,67.2,67.2,51.8,15.4,22.9,0,32.8,6082,56.8,10.7,20.2,8.9,1.7,1.4,0.4,32.6,14269,11964,20052,16719,48281,-,0
SACRAMENTO,19930414,N,DIGNITY HEALTH CARDIOPULMONARY REHAB,05D0866935,Y,M2,20171130,95819,40900,-121.4524082,38.5702596,MERCY GENERAL HOSPITAL,60,0.6,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,95429,97373,125000,122326,42604,0,0,0,0,0,56.2,56.2,55.2,1,1.8,0,43.8,1017,0,2.3,36.8,27.8,4.7,18.8,9.6,97.7,77145,-,95411,76617,82865,51250,0
SACRAMENTO,19930506,N,KAISER FOUNDATION HOSPITAL INPATIENT,05D0867675,Y,LAB,20011231,95823,40900,-121.4216412,38.4699104,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,100,1,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,26667,30180,43438,38232,12917,0,0,0,6.3,0,60.6,60.6,51.2,9.4,15.6,0,39.4,108,20.4,21.3,16.7,25,13,3.7,0,58.3,14688,-,-,24063,-,-,0
SACRAMENTO,20000407,Y,KAISER PERMANENTE MEDICAL OFFICES,05D0872593,N,M2,20011201,95823,40900,-121.4216412,38.4699104,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,100,1,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,70787,101614,84070,125106,42000,9.3,3.7,30.8,13.8,22.3,64.2,64.2,59.5,4.6,7.2,0,35.8,3988,2.7,5.3,16.8,25.2,6.9,23.1,20.1,92.1,41784,37454,36927,33646,52143,83571,0
SACRAMENTO,19940608,N,MERCY GENERAL HOSPITAL-NUCLER MEDICINE,05D0887243,Y,M2,20050102,95819,40900,-121.4524082,38.5702596,MERCY GENERAL HOSPITAL,60,0.6,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,25619,34992,25922,35797,9307,44.2,37.7,62.5,45.9,60.1,57.3,57.3,49.6,7.8,13.6,0,42.7,5019,41.1,12.7,29.5,11.1,2.5,2.8,0.3,46.2,15301,13685,22593,14185,-,-,0
SACRAMENTO,19980218,N,METHODIST HOSPITAL ANCILLARY,05D0940882,Y,M1,20200217,95823,40900,-121.4163638,38.4631737,METHODIST HOSPITAL OF SACRAMENTO,60,0.6,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,31328,40303,31171,40898,10835,39.2,33.9,55.9,40.8,53.2,62.7,62.7,56.2,6.6,10.5,0,37.3,7976,38.5,14.5,24.1,14.6,5.5,2.6,0.1,47,19317,13653,23989,26156,20250,-,0
SACRAMENTO,19980717,N,SACRAMENTO FAMILY MEDICAL CLINIC INC,05D0948751,Y,LAB,20020716,95818,40900,-122.2582442,37.8235195,KAISER FOUNDATION HOSPITAL - OAKLAND,80,0.8,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,35893,41620,33750,37692,11563,50,26.7,100,53.2,69.7,58.1,58.1,53.2,5,8.5,0,41.9,186,65.1,7.5,11.8,9.7,1.6,2.7,1.6,27.4,12208,10781,41125,-,-,-,0
SACRAMENTO,19981015,N,UC DAVIS MEDICAL CENTER,05D0952557,Y,M2,20201014,95817,40900,-121.4567508,38.5549383,UNIVERSITY OF CALIFORNIA DAVIS MEDICAL CENTER,80,0.8,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,43036,56997,44286,59284,17413,21.5,16.8,43.8,26.2,37.4,62.4,62,51.7,10.3,16.5,0.4,37.6,15104,26.6,10.4,20.8,18.5,9.1,10.3,4.2,62.9,22204,13725,22047,31429,55661,72015,0
SACRAMENTO,20040408,N,KFH SOUTH SACRAMENTO NURSING,05D1024337,Y,M2,20200714,95832,40900,-121.4216412,38.4699104,KAISER FOUNDATION HOSPITAL - SOUTH SACRAMENTO,100,1,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,50135,50957,50139,50904,12821,27.7,14.9,81.1,36.5,45.7,53.4,53.4,46.7,6.7,12.5,0,46.6,2222,25.5,11.9,29.3,21.1,5.6,5.5,1.1,62.6,23227,22850,22879,30179,23477,-,0
SACRAMENTO,20040809,N,KAISER PERMANENTE NUCLEAR MED SACTO,05D1029064,Y,LAB,20050325,95825,40900,-121.3919202,38.6018632,KAISER FOUNDATION HOSPITAL - SACRAMENTO,100,1,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,44928,58313,47875,60437,17112,24.8,15,46.1,29.2,37.2,60.8,60.8,54.8,6,9.8,0,39.2,14662,21,12.8,24.2,21.3,7.8,9.5,3.4,66.2,28258,15982,27907,32550,47056,68047,0
SACRAMENTO,20061221,N,MERCY GENERAL RADIATION ONCOLOGY CTR,05D1062696,Y,LAB,20120713,95819,40900,-121.4524082,38.5702596,MERCY GENERAL HOSPITAL,60,0.6,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,24661,35320,24333,35730,9816,47.6,21.9,95,43.9,61.6,54.7,54.7,49.3,5.4,9.9,0,45.3,1965,54.2,15.7,15.8,10.3,1.4,2.6,0,30.1,22820,17443,30313,23250,31500,-,0
SACRAMENTO,20160712,N,TPMG -MORSE AVE MOB,05D2115721,Y,M2,20200711,95825,40900,-121.3919202,38.6018632,KAISER FOUNDATION HOSPITAL - SACRAMENTO,100,1,SACRAMENTO CITY,497785,35.2,189193,59.5,40.5,2.61,3.34,11995,23.4,23020,6,6.8,141752,28.2,159291,31.7,67305,13.4,1918,0.4,93476,18.6,10127,2,2181,0.4,25840,5.1,77.7,22.3,54.2,466570,37.1,14.8,41428,56225,46037,58770,16127,20.2,12.6,42.6,23.3,31.2,58.3,58.2,53,5.2,8.9,0.1,41.7,14354,22,13.2,27.9,22.1,6.6,6.4,1.9,64.8,26189,19250,25149,30685,43750,69716,0
SAN BERNARDINO,20100121,Y,COMMUNITY HOSPITAL OF SAN BERNARDINO,05D0575254,N,LAB,20190227,92411,40140,-117.3217772,34.1314087,COMMUNITY HOSPITAL OF SAN BERNARDINO,100,1,SAN BERNARDINO COUNTY,2103552,33.4,626223,76.5,23.5,3.35,3.83,79177,23.8,91222,5.8,5.4,1152510,53.4,613549,28.4,167255,7.8,8031,0.4,152274,7.1,6271,0.3,3553,0.2,53961,2.5,80.1,19.9,48,2003368,40.9,14.1,91563,110645,110625,133157,54059,0,0,-,3.3,0,53.8,53.8,53.2,0.6,1.1,0,46.2,473,0.8,1.3,20.3,28.1,4.9,30.7,14,97.9,45417,-,30000,52500,48281,46953,0
SAN BERNARDINO,20100121,Y,COMMUNITY HOSPITAL OF SAN BERNARDINO,05D0575266,N,M1,20190227,92411,40140,-117.3217772,34.1314087,COMMUNITY HOSPITAL OF SAN BERNARDINO,100,1,SAN BERNARDINO COUNTY,2103552,33.4,626223,76.5,23.5,3.35,3.83,79177,23.8,91222,5.8,5.4,1152510,53.4,613549,28.4,167255,7.8,8031,0.4,152274,7.1,6271,0.3,3553,0.2,53961,2.5,80.1,19.9,48,2003368,40.9,14.1,71161,79511,81023,91615,28094,4.7,0,34.7,8.1,12,57.1,57.1,51.8,5.3,9.3,0,42.9,2097,3.1,14.8,28.4,25.4,7.2,12.9,8.3,82.1,41121,40679,50861,30625,86250,78182,0
SAN BERNARDINO,19921228,N,SAN BERNARDINO COMMUNITY HOSPITAL,05D0665987,Y,LAB,19980831,92411,40140,-117.3217772,34.1314087,COMMUNITY HOSPITAL OF SAN BERNARDINO,100,1,SAN BERNARDINO COUNTY,2103552,33.4,626223,76.5,23.5,3.35,3.83,79177,23.8,91222,5.8,5.4,1152510,53.4,613549,28.4,167255,7.8,8031,0.4,152274,7.1,6271,0.3,3553,0.2,53961,2.5,80.1,19.9,48,2003368,40.9,14.1,67115,91723,88576,99326,33026,9.5,0.4,53.1,15.3,23.3,51.2,51.2,47.6,3.6,7,0,48.8,2890,6.6,7.1,17.8,22.9,6.1,21.6,17.9,86.3,40450,25982,22264,30994,54000,99538,0
APPLE VALLEY,19930209,N,APPLE VALLEY EMERGENCY PHYSICIANS,05D0861439,Y,LAB,20020831,92307,40140,-117.2655636,34.5418476,ST. JOSEPH HEALTH SAINT MARY,40,0.4,APPLE VALLEY TOWN,72677,37.6,24050,72.8,27.2,3.02,3.57,N,N,4342,8.2,15.7,27272,37.3,35482,48.6,5804,7.9,132,0.2,1967,2.7,0,0,0,0,2414,3.3,90.9,9.1,71.2,65345,15.5,4,55515,62190,63636,63488,23739,18,20.9,13.5,20.1,33.5,60.7,60.7,57.7,3.1,5.1,0,39.3,2177,6,3.2,42.9,26,5.6,11,5.3,90.8,36023,26957,30817,42614,52143,46250,0
FONTANA,19930310,N,KAISER FOUNDATION HOSPITAL FONTANA,05D0573387,Y,M1,20200104,92335,40140,-117.431968,34.072245,KAISER PERMANENTE FONTANA MEDICAL CENTER,100,1,FONTANA CITY,211368,29.3,52767,87.3,12.7,4,4.25,8913,20.4,4298,2.9,6.2,144376,68.2,31497,14.9,19507,9.2,335,0.2,9581,4.5,155,0.1,1061,0.5,5308,2.5,77.8,22.2,46.3,196622,54.1,16.1,-,53158,-,47720,12996,22.5,0,36,10.9,-,69.4,69.4,69.4,0,0,0,30.6,173,46.8,32.4,20.8,0,0,0,0,20.8,16000,-,-,-,-,-,0
FONTANA,19930210,N,SCPMG FONTANA MEDICAL OFFICES,05D0683315,Y,M1,20200831,92335,40140,-117.431968,34.072245,KAISER PERMANENTE FONTANA MEDICAL CENTER,100,1,FONTANA CITY,211368,29.3,52767,87.3,12.7,4,4.25,8913,20.4,4298,2.9,6.2,144376,68.2,31497,14.9,19507,9.2,335,0.2,9581,4.5,155,0.1,1061,0.5,5308,2.5,77.8,22.2,46.3,196622,54.1,16.1,30956,38929,36103,42130,13354,26.9,37.4,0,31.5,54.3,46.1,46.1,46.1,0,0,0,53.9,496,34.1,12.3,30.6,12.3,7.1,3.6,0,53.6,26840,27431,-,33750,-,-,0
FONTANA,19930222,N,KAISER PERMANENTE DEPT OF UROLOGY,05D0702861,Y,LAB,19960831,92335,40140,-117.431968,34.072245,KAISER PERMANENTE FONTANA MEDICAL CENTER,100,1,FONTANA CITY,211368,29.3,52767,87.3,12.7,4,4.25,8913,20.4,4298,2.9,6.2,144376,68.2,31497,14.9,19507,9.2,335,0.2,9581,4.5,155,0.1,1061,0.5,5308,2.5,77.8,22.2,46.3,196622,54.1,16.1,46125,53163,49688,58355,16288,10.8,11.5,17.9,19.9,15.8,65.7,65.7,46.7,19,28.9,0,34.3,499,27.7,10.2,29.7,19.8,5.8,6.8,0,62.1,26615,26563,44750,22768,-,-,0
FONTANA,19951128,N,KAISER FOUNDATION HOSPITAL BLOOD GAS LAB FONTANA,05D0909202,Y,M1,20190805,92335,40140,-117.431968,34.072245,KAISER PERMANENTE FONTANA MEDICAL CENTER,100,1,FONTANA CITY,211368,29.3,52767,87.3,12.7,4,4.25,8913,20.4,4298,2.9,6.2,144376,68.2,31497,14.9,19507,9.2,335,0.2,9581,4.5,155,0.1,1061,0.5,5308,2.5,77.8,22.2,46.3,196622,54.1,16.1,33438,43096,34688,42060,11430,28.3,32.1,33.3,24.8,27.4,58.6,58.6,46,12.6,21.6,0,41.4,131,53.4,10.7,18.3,17.6,0,0,0,35.9,17841,20125,-,-,-,-,0
FONTANA,19951128,N,S CAL PERMANENTE MED GRP NICU ABG LAB,05D0909203,Y,LAB,20000126,92335,40140,-117.431968,34.072245,KAISER PERMANENTE FONTANA MEDICAL CENTER,100,1,FONTANA CITY,211368,29.3,52767,87.3,12.7,4,4.25,8913,20.4,4298,2.9,6.2,144376,68.2,31497,14.9,19507,9.2,335,0.2,9581,4.5,155,0.1,1061,0.5,5308,2.5,77.8,22.2,46.3,196622,54.1,16.1,46260,58822,53364,67960,21029,15.5,10.2,45.4,19.6,25.5,55.6,55.5,50.4,5.1,9.2,0,44.4,17927,14,13.5,27.3,24.9,7.4,10.1,2.8,72.5,28695,25161,26094,30606,51906,63382,0
ONTARIO,20040427,N,KAISER FOUNDATION HOSPITAL LABORATORY-ONTARIO,05D1025027,Y,M1,20201013,91761,40140,-117.608757,34.032459,KAISER PERMANENTE ONTARIO MEDICAL CENTER,100,1,ONTARIO CITY,175247,33.2,50572,80.1,19.9,3.46,3.81,7359,18.3,5317,4.1,1.6,119439,67.9,30461,17.3,8500,4.8,565,0.3,11594,6.6,167,0.1,1234,0.7,3890,2.2,73.1,26.9,43.4,163653,56,19.6,54107,67799,-,71000,17435,0,0,-,6.6,0,44.3,44.3,34.4,9.9,22.3,0,55.7,185,8.1,12.4,38.9,33,0,7.6,0,79.5,41486,41304,-,-,-,-,0
ONTARIO,20110711,N,"KAISER FOUNDATION HOSPITAL FONTANA, ONTARIO CAMPUS",05D2026781,Y,M1,20190710,91761,40140,-117.608757,34.032459,KAISER PERMANENTE ONTARIO MEDICAL CENTER,100,1,ONTARIO CITY,175247,33.2,50572,80.1,19.9,3.46,3.81,7359,18.3,5317,4.1,1.6,119439,67.9,30461,17.3,8500,4.8,565,0.3,11594,6.6,167,0.1,1234,0.7,3890,2.2,73.1,26.9,43.4,163653,56,19.6,44559,57052,45625,59630,21372,4.3,4.9,0,6.4,0,35.4,35.4,29.8,5.6,15.7,0,64.6,166,0,14.5,19.3,41.6,6.6,16.9,1.2,85.5,43083,-,-,-,-,-,0
ONTARIO,20111014,N,KAISER FOUNDATION HOSPITAL BLOOD GAS LABORATORY,05D2031198,Y,M2,20181213,91761,40140,-117.608757,34.032459,KAISER PERMANENTE ONTARIO MEDICAL CENTER,100,1,ONTARIO CITY,175247,33.2,50572,80.1,19.9,3.46,3.81,7359,18.3,5317,4.1,1.6,119439,67.9,30461,17.3,8500,4.8,565,0.3,11594,6.6,167,0.1,1234,0.7,3890,2.2,73.1,26.9,43.4,163653,56,19.6,46705,49276,46674,50861,13917,13.5,7.5,23.7,18.5,25.7,54.2,54.2,52.1,2,3.7,0,45.8,1299,29.2,19.3,25.6,15,3.2,7.7,0,51.5,30674,30250,-,34375,45104,-,0
SAN BERNARDINO,20100121,Y,COMMUNITY HOSPITAL OF SAN BERNARDINO,05D0575254,N,LAB,20190227,92411,40140,-117.3217772,34.1314087,COMMUNITY HOSPITAL OF SAN BERNARDINO,100,1,SAN BERNARDINO CITY,209942,31.7,60714,76.3,23.7,3.38,3.87,8608,26.6,6308,4,0,140482,64.7,33954,15.6,26137,12,655,0.3,7239,3.3,169,0.1,92,0,8255,3.8,78.9,21.1,37.6,201506,49.3,17.5,43643,49003,45238,52618,16804,21.9,12.3,52.3,24.4,33.4,63.3,63.3,56.7,6.6,10.4,0,36.7,4246,15.4,13.1,31.6,23.2,4.6,9.5,2.7,71.5,26151,25348,25009,30084,-,61111,0
SAN BERNARDINO,20100121,Y,COMMUNITY HOSPITAL OF SAN BERNARDINO,05D0575266,N,M1,20190227,92411,40140,-117.3217772,34.1314087,COMMUNITY HOSPITAL OF SAN BERNARDINO,100,1,SAN BERNARDINO CITY,209942,31.7,60714,76.3,23.7,3.38,3.87,8608,26.6,6308,4,0,140482,64.7,33954,15.6,26137,12,655,0.3,7239,3.3,169,0.1,92,0,8255,3.8,78.9,21.1,37.6,201506,49.3,17.5,50429,56766,61438,72571,20284,13.4,10.9,36.6,19.9,15.8,53.3,53.3,48.2,5.1,9.6,0,46.7,4007,14.3,13.3,23.5,23.1,13.4,8.3,4.1,72.4,26310,21194,19216,31667,63918,-,0
